pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
K2-123 b,K2-123,1,1,Transit,2017,30.951524,,0.1649,2.76,,,338.0,,4035.0,0.59,0.62,0.03,[Fe/H],4.69,161.555,Neptune-like
K2-124 b,K2-124,1,1,Transit,2017,6.413651,,0.049,2.9,,,442.0,,3570.0,0.39,0.39,0.023,[Fe/H],4.86,140.385,Neptune-like
K2-125 b,K2-125,1,1,Transit,2017,21.750264,0.08,0.121,2.18,,2.0,,,3654.47,0.4,0.49,,,,124.156,Neptune-like
K2-126 b,K2-126,1,1,Transit,2017,7.385655,,0.0656,1.97,,,601.0,,4339.0,0.65,0.69,0.02,[Fe/H],4.66,102.953,Super Earth
K2-127 b,K2-127,1,1,Transit,2017,3.588163,,0.0411,8.37,,,809.0,,4575.0,0.66,0.72,-0.11,[Fe/H],4.65,709.999,Gas Giant
K2-128 b,K2-128,1,1,Transit,2017,5.675819,0.23,0.056,1.42,,68.8,,,4469.51,0.78,0.71,,,,114.637,Super Earth
K2-129 b,K2-129,1,1,Transit,2017,8.239493,0.13,0.057,1.04,,4.5,,,3459.09,0.36,0.36,,,,27.7957,Super Earth
K2-13 b,K2-13,1,1,Transit,2015,39.91488,,0.2114,1.89,,,511.0,,5698.0,0.78,0.8,-0.54,[Fe/H],,342.394,Super Earth
K2-130 b,K2-130,1,1,Transit,2017,2.49412,0.17,0.032,1.25,,136.4,,,4356.47,0.74,0.7,,,,118.011,Super Earth
K2-131 b,K2-131,1,1,Transit,2017,0.369311,,,1.5,,,,,5200.0,0.81,,-0.02,[Fe/H],4.6,152.509,Super Earth
K2-132 b,K2-132,1,1,Transit,2017,9.1751,,,14.572,155.7367,,,,4840.0,3.85,1.08,-0.01,[Fe/H],3.3,609.818,Gas Giant
K2-133 b,K2-133,1,4,Transit,2017,3.07133,,0.03194,1.34,,,,M1.5 V,3655.0,0.46,0.46,,,,75.1703,Super Earth
K2-133 c,K2-133,1,4,Transit,2017,4.86784,,0.04341,1.603,,,,M1.5 V,3655.0,0.46,0.46,,,,75.1703,Super Earth
K2-133 d,K2-133,1,4,Transit,2017,11.02454,,0.07487,2.003,,,,M1.5 V,3655.0,0.46,0.46,,,,75.1703,Super Earth
K2-133 e,K2-133,1,4,Transit,2019,26.5841,,0.1346,1.73,,1.8,296.0,M1.5 V,3655.0,0.46,0.46,,,,75.1703,Super Earth
K2-136 b,K2-136,2,3,Transit,2017,7.975292,0.1,,0.99,,,553.0,K5.5,4499.0,0.66,0.74,0.15,[Fe/H],4.66,59.2474,Terrestrial
K2-136 c,K2-136,2,3,Transit,2017,17.307137,0.13,,2.91,,,425.0,K5.5,4499.0,0.66,0.74,0.15,[Fe/H],4.66,59.2474,Neptune-like
K2-136 d,K2-136,2,3,Transit,2017,25.575065,0.14,,1.45,,,373.0,K5.5,4499.0,0.66,0.74,0.15,[Fe/H],4.66,59.2474,Super Earth
K2-137 b,K2-137,1,1,Transit,2017,0.179719,,,0.64,,,,,3697.0,0.29,,-0.059,[Fe/H],5.0,98.8765,Terrestrial
K2-138 b,K2-138,1,6,Transit,2017,2.35309,0.048,0.03385,1.51,3.1,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Super Earth
K2-138 c,K2-138,1,6,Transit,2017,3.56004,0.045,0.04461,2.299,6.31,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Neptune-like
K2-138 d,K2-138,1,6,Transit,2017,5.40479,0.043,0.05893,2.39,7.92,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Super Earth
K2-138 e,K2-138,1,6,Transit,2017,8.26146,0.077,0.0782,3.39,12.97,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Neptune-like
K2-138 f,K2-138,1,6,Transit,2017,12.75758,0.062,0.10447,2.904,1.63,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Terrestrial
K2-138 g,K2-138,1,6,Transit,2021,41.96797,0.059,0.23109,3.013,4.32,,,,5356.3,0.86,0.94,0.14,[M/H],4.54,202.585,Neptune-like
K2-139 b,K2-139,1,1,Transit,2017,28.380619,,0.1796,9.11,,,524.0,,5370.0,0.88,0.96,0.24,[Fe/H],4.54,153.856,Gas Giant
K2-14 b,K2-14,1,1,Transit,2015,8.36802,,0.0627,4.81,,,488.0,,3789.0,0.45,0.47,-0.37,[Fe/H],,364.048,Neptune-like
K2-140 b,K2-140,1,1,Transit,2017,6.569188,0.0,0.068,13.563,295.58042,204.0,962.0,G6 V,5585.0,1.06,0.96,0.1,[Fe/H],4.4,347.917,Gas Giant
K2-141 b,K2-141,1,2,Transit,2018,0.2803244,0.0,,1.51,5.08,,,,4599.0,0.68,0.71,-0.06,[Fe/H],4.62,61.8736,Super Earth
K2-141 c,K2-141,1,2,Transit,2018,7.7485,0.0,,7.0,7.4,,,,4599.0,0.68,0.71,-0.06,[Fe/H],4.62,61.8736,Neptune-like
K2-146 b,K2-146,1,2,Transit,2018,2.6446,0.129,,2.05,5.77,,,,3385.0,0.33,0.33,,,,79.3002,Super Earth
K2-146 c,K2-146,1,2,Transit,2019,4.00498,0.075,,2.19,7.49,,,,3385.0,0.33,0.33,,,,79.3002,Super Earth
K2-147 b,K2-147,1,1,Transit,2018,0.961918,,,0.73,,,,,3775.0,0.31,,-0.1,[Fe/H],5.0,90.5494,Terrestrial
K2-148 b,K2-148,2,3,Transit,2018,4.38395,,0.0454,1.33,,48.8,,,4079.0,0.63,0.65,-0.11,[Fe/H],4.65,124.458,Super Earth
K2-148 c,K2-148,2,3,Transit,2018,6.9226,,0.0616,1.73,,26.5,,,4079.0,0.63,0.65,-0.11,[Fe/H],4.65,124.458,Super Earth
K2-148 d,K2-148,2,3,Transit,2018,9.7579,,0.0774,1.64,,16.8,,,4079.0,0.63,0.65,-0.11,[Fe/H],4.65,124.458,Super Earth
K2-149 b,K2-149,1,1,Transit,2018,11.332,,0.083,1.64,,7.0,,M1.0 V,3745.0,0.57,0.59,0.11,[Fe/H],4.71,123.676,Super Earth
K2-15 b,K2-15,1,1,Transit,2015,11.8104,,0.091,2.48,,,676.0,,5131.0,0.68,0.72,-0.46,[Fe/H],,493.992,Neptune-like
K2-150 b,K2-150,1,1,Transit,2018,10.59357,,0.0727,2.0,,4.9,,M2.5 V,3499.0,0.44,0.46,0.09,[Fe/H],4.82,102.483,Super Earth
K2-151 b,K2-151,2,1,Transit,2018,3.835476,,0.0373,1.49,,,566.0,,3695.0,0.45,0.47,-0.19,[Fe/H],4.8,69.4798,Super Earth
K2-152 b,K2-152,1,1,Transit,2018,32.6479,,0.1716,2.29,,,337.0,,4044.0,0.61,0.63,0.12,[Fe/H],4.67,108.449,Neptune-like
K2-153 b,K2-153,1,1,Transit,2018,7.51574,,0.0614,2.0,,,497.0,,3845.0,0.53,0.55,-0.09,[Fe/H],4.73,143.125,Super Earth
K2-154 b,K2-154,1,2,Transit,2018,3.67626,,0.0405,1.99,,,715.0,,4097.0,0.63,0.65,0.21,[Fe/H],4.65,129.356,Super Earth
K2-154 c,K2-154,1,2,Transit,2018,7.95486,,0.0677,2.07,,,552.0,,4097.0,0.63,0.65,0.21,[Fe/H],4.65,129.356,Super Earth
K2-155 b,K2-155,1,3,Transit,2018,6.342,,0.0562,1.8,,,708.0,,4258.0,0.58,0.65,-0.3,[Fe/H],4.6,72.7998,Super Earth
K2-155 c,K2-155,1,3,Transit,2018,13.85,,0.0946,2.6,,,583.0,,4258.0,0.58,0.65,-0.3,[Fe/H],4.6,72.7998,Neptune-like
K2-155 d,K2-155,1,3,Transit,2018,40.718,,0.1937,1.9,,,381.0,,4258.0,0.58,0.65,-0.3,[Fe/H],4.6,72.7998,Super Earth
K2-156 b,K2-156,1,1,Transit,2018,0.813143,,,1.1,,,,,4460.0,0.62,,-0.33,[Fe/H],4.7,150.21,Super Earth
K2-157 b,K2-157,1,1,Transit,2018,0.365261,,,1.0,,,,,5456.0,0.88,,0.13,[Fe/H],4.5,298.373,Terrestrial
K2-158 b,K2-158,1,2,Transit,2018,10.06049,,0.0887,2.64,,,794.0,,5503.0,0.95,0.92,0.07,[Fe/H],4.45,197.299,Neptune-like
K2-158 c,K2-158,1,2,Transit,2018,5.90279,,0.0622,1.28,,,948.0,,5503.0,0.95,0.92,0.07,[Fe/H],4.45,197.299,Super Earth
K2-159 b,K2-159,1,1,Transit,2018,12.42205,,0.1013,2.26,,,684.0,,5425.0,0.83,0.9,-0.07,[Fe/H],4.56,170.998,Neptune-like
K2-16 b,K2-16,1,3,Transit,2015,7.6188,,0.0667,2.02,,44.5,658.0,K3 V,4742.0,0.66,0.68,-0.33,[Fe/H],4.51,334.967,Super Earth
K2-16 c,K2-16,1,3,Transit,2015,19.07863,,0.1229,2.54,,13.1,485.0,K3 V,4742.0,0.66,0.68,-0.33,[Fe/H],4.51,334.967,Neptune-like
K2-160 b,K2-160,1,1,Transit,2018,3.705871,,,3.178,,,,,5649.0,0.91,0.98,0.07,[Fe/H],4.61,315.363,Neptune-like
K2-161 b,K2-161,1,1,Transit,2018,9.283188,,,6.117,,,,,4972.0,2.57,0.99,-0.03,[Fe/H],3.63,916.319,Neptune-like
K2-162 b,K2-162,1,1,Transit,2018,9.45889,,0.0795,1.44,,,631.0,,4842.0,0.69,0.75,-0.17,[Fe/H],4.63,124.433,Super Earth
K2-163 b,K2-163,1,1,Transit,2018,6.673117,,,2.466,,,,,4937.0,0.76,0.83,0.14,[Fe/H],4.71,208.529,Neptune-like
K2-164 b,K2-164,1,1,Transit,2018,17.355066,,,3.249,,,,,5791.0,2.2,1.18,-0.23,[Fe/H],3.81,375.67,Neptune-like
K2-165 b,K2-165,1,3,Transit,2018,2.354992,,,1.274,,,,,5185.0,0.8,0.83,-0.05,[Fe/H],4.46,134.591,Super Earth
K2-165 c,K2-165,1,3,Transit,2018,4.382745,,,1.554,,,,,5185.0,0.8,0.83,-0.05,[Fe/H],4.46,134.591,Super Earth
K2-165 d,K2-165,1,3,Transit,2018,14.101361,,,2.648,,,,,5185.0,0.8,0.83,-0.05,[Fe/H],4.46,134.591,Neptune-like
K2-166 b,K2-166,1,2,Transit,2018,8.52695,,0.0858,2.19,,,1140.0,,5960.0,1.61,1.16,0.09,[Fe/H],4.09,476.882,Neptune-like
