pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
Kepler-112 c,Kepler-112,1,2,Transit,2014,28.574263,,0.172,2.4,,,,,5544.0,0.84,,,,4.51,513.206,Neptune-like
Kepler-1120 b,Kepler-1120,1,1,Transit,2016,2.94902905,,,1.38,,,,,4904.0,0.74,0.78,-0.04,[Fe/H],4.6,615.231,Super Earth
Kepler-1121 b,Kepler-1121,1,1,Transit,2016,13.15141081,,,1.91,,,,,6231.0,1.59,1.29,0.12,[Fe/H],4.14,482.047,Super Earth
Kepler-1122 b,Kepler-1122,1,1,Transit,2016,42.1917357,,,2.04,,,,,5544.0,0.89,0.92,-0.03,[Fe/H],4.51,1230.42,Super Earth
Kepler-1123 b,Kepler-1123,1,1,Transit,2016,4.33946454,,,1.67,,,,,5500.0,0.9,0.93,0.05,[Fe/H],4.5,704.323,Super Earth
Kepler-1124 b,Kepler-1124,1,1,Transit,2016,2.85234897,,,1.28,,,,,3658.0,0.34,0.35,-0.59,[Fe/H],4.93,289.899,Super Earth
Kepler-1125 b,Kepler-1125,1,1,Transit,2016,17.6700642,,,1.84,,,,,5683.0,0.94,0.95,-0.09,[Fe/H],4.47,2011.41,Super Earth
Kepler-1126 b,Kepler-1126,1,1,Transit,2016,108.593329,,,1.73,,,,,5798.0,0.93,0.92,-0.26,[Fe/H],4.46,635.736,Super Earth
Kepler-1127 b,Kepler-1127,1,1,Transit,2016,5.12330347,,,1.96,,,,,5664.0,0.95,0.97,0.04,[Fe/H],4.47,842.459,Super Earth
Kepler-1128 b,Kepler-1128,1,1,Transit,2016,61.6178167,,,3.65,,,,,5543.0,0.91,0.94,0.04,[Fe/H],4.5,1083.41,Neptune-like
Kepler-1129 b,Kepler-1129,1,2,Transit,2016,24.3397804,,,2.96,,,,,5831.0,1.0,1.0,-0.04,[Fe/H],4.44,1183.88,Neptune-like
Kepler-1129 c,Kepler-1129,1,2,Transit,2016,76.5369586,,,2.73,,,,,5831.0,1.0,1.0,-0.04,[Fe/H],4.44,1183.88,Neptune-like
Kepler-113 b,Kepler-113,1,2,Transit,2014,4.754,,,1.82,11.7,,,,4725.0,0.69,0.75,0.05,[Fe/H],4.64,262.351,Super Earth
Kepler-113 c,Kepler-113,1,2,Transit,2014,8.92507,,,2.18,8.7,,,,4725.0,0.69,0.75,0.05,[Fe/H],4.64,262.351,Neptune-like
Kepler-1130 b,Kepler-1130,2,3,Transit,2016,5.45298175,,,0.8,,,,,5403.0,0.81,0.9,-0.06,[Fe/H],4.57,249.343,Terrestrial
Kepler-1130 c,Kepler-1130,2,3,Transit,2021,3.26663995,,,0.792,,,,,5450.0,0.84,0.94,0.1,[Fe/H],4.56,249.343,Terrestrial
Kepler-1130 d,Kepler-1130,2,3,Transit,2021,4.27225017,,,0.645,,,,,5450.0,0.84,0.94,0.1,[Fe/H],4.56,249.343,Terrestrial
Kepler-1131 b,Kepler-1131,1,1,Transit,2016,3.53232449,,,1.59,,,,,5851.0,1.04,1.03,0.05,[Fe/H],4.42,1030.7,Super Earth
Kepler-1132 b,Kepler-1132,1,1,Transit,2016,62.8916228,,,2.35,,,,,5298.0,0.83,0.87,-0.01,[Fe/H],4.55,867.931,Neptune-like
Kepler-1133 b,Kepler-1133,1,1,Transit,2016,11.55562343,,,1.97,,,,,5569.0,0.9,0.93,-0.02,[Fe/H],4.5,753.135,Super Earth
Kepler-1134 b,Kepler-1134,1,1,Transit,2016,17.13263989,,,2.64,,,,,5281.0,0.81,0.84,-0.1,[Fe/H],4.56,944.445,Neptune-like
Kepler-1135 b,Kepler-1135,1,1,Transit,2016,76.957857,,,1.85,,,,,5656.0,0.94,0.96,0.02,[Fe/H],4.47,1314.64,Super Earth
Kepler-1136 b,Kepler-1136,1,1,Transit,2016,2.36172433,,,1.64,,,,,4512.0,0.68,0.72,0.03,[Fe/H],4.63,491.406,Super Earth
Kepler-1137 b,Kepler-1137,1,1,Transit,2016,23.9210791,,,2.2,,,,,6807.0,1.84,1.5,0.05,[Fe/H],4.08,921.778,Neptune-like
Kepler-1138 b,Kepler-1138,1,1,Transit,2016,3.17060005,,,1.7,,,,,5582.0,0.92,0.95,0.04,[Fe/H],4.49,872.328,Super Earth
Kepler-1139 b,Kepler-1139,1,1,Transit,2016,0.81316672,,,1.19,,,,,5550.0,0.91,0.94,0.05,[Fe/H],4.5,495.156,Super Earth
Kepler-114 b,Kepler-114,1,3,Transit,2014,5.188549,,0.053,1.26,,,,,4605.0,0.67,,,,4.65,259.533,Super Earth
Kepler-114 c,Kepler-114,1,3,Transit,2013,8.041,,,1.6,2.8,,,,,0.54,0.56,,,4.72,259.533,Super Earth
Kepler-114 d,Kepler-114,1,3,Transit,2013,11.776,,,2.53,3.9,,,,,0.54,0.56,,,4.72,259.533,Neptune-like
Kepler-1140 b,Kepler-1140,1,1,Transit,2016,24.0862707,,,2.77,,,,,4850.0,0.73,0.76,-0.08,[Fe/H],4.61,656.48,Neptune-like
Kepler-1141 b,Kepler-1141,1,1,Transit,2016,2.34451194,,,0.82,,,,,5791.0,1.07,1.01,0.04,[Fe/H],4.38,393.642,Terrestrial
Kepler-1142 b,Kepler-1142,1,1,Transit,2016,18.3027248,,,1.47,,,,,5685.0,0.96,0.97,0.02,[Fe/H],4.46,1273.51,Super Earth
Kepler-1143 b,Kepler-1143,1,2,Transit,2016,2.88890485,,,1.67,,,,,5053.0,0.77,0.81,-0.06,[Fe/H],4.58,555.189,Super Earth
Kepler-1143 c,Kepler-1143,1,2,Transit,2016,210.630591,,,3.6,,,,,5053.0,0.77,0.81,-0.06,[Fe/H],4.58,555.189,Neptune-like
Kepler-1144 b,Kepler-1144,1,1,Transit,2016,17.14647302,,,1.99,,,,,5753.0,0.96,0.98,-0.03,[Fe/H],4.47,1140.57,Super Earth
Kepler-1145 b,Kepler-1145,1,1,Transit,2016,3.97076766,,,1.4,,,,,5064.0,0.75,0.79,-0.13,[Fe/H],4.59,691.961,Super Earth
Kepler-1146 b,Kepler-1146,1,1,Transit,2016,2.3522658,,,1.23,,,,,4692.0,0.7,0.74,-0.06,[Fe/H],4.62,703.038,Super Earth
Kepler-1147 b,Kepler-1147,1,1,Transit,2016,10.62784997,,,2.61,,,,,5941.0,1.14,1.09,0.11,[Fe/H],4.36,1657.36,Neptune-like
Kepler-1148 b,Kepler-1148,1,1,Transit,2016,1.10446351,,,1.69,,,,,5054.0,0.77,0.81,-0.02,[Fe/H],4.58,625.692,Super Earth
Kepler-1149 b,Kepler-1149,1,1,Transit,2016,3.73089898,,,1.44,,,,,5833.0,1.01,1.02,0.02,[Fe/H],4.43,1217.73,Super Earth
Kepler-115 b,Kepler-115,1,2,Transit,2014,2.403679,,0.036,1.09,,,,,5979.0,1.21,,,,4.31,623.609,Super Earth
Kepler-115 c,Kepler-115,1,2,Transit,2014,8.990889,,0.087,2.6,,,,,5979.0,1.21,,,,4.31,623.609,Neptune-like
Kepler-1150 b,Kepler-1150,2,1,Transit,2016,2.78786839,,,1.02,,,,,4754.0,0.72,0.76,0.01,[Fe/H],4.61,358.518,Super Earth
Kepler-1151 b,Kepler-1151,1,1,Transit,2016,65.6478424,,,2.22,,,,,5470.0,0.85,0.88,-0.11,[Fe/H],4.53,682.436,Neptune-like
Kepler-1152 b,Kepler-1152,1,1,Transit,2016,1.64680191,,,0.87,,,,,3964.0,0.53,0.55,-0.25,[Fe/H],4.73,215.233,Terrestrial
Kepler-1153 b,Kepler-1153,1,1,Transit,2016,1.75583533,,,1.73,,,,,5470.0,0.88,0.91,0.03,[Fe/H],4.52,1119.49,Super Earth
Kepler-1154 b,Kepler-1154,1,2,Transit,2016,5.1856142,,,2.34,,,,,6327.0,1.43,1.26,0.04,[Fe/H],4.23,1460.1,Neptune-like
Kepler-1154 c,Kepler-1154,1,2,Transit,2016,8.45808312,,,2.36,,,,,6327.0,1.43,1.26,0.04,[Fe/H],4.23,1460.1,Neptune-like
Kepler-1155 b,Kepler-1155,1,1,Transit,2016,33.469743,,,2.03,,,,,5842.0,1.03,1.03,0.04,[Fe/H],4.43,1128.72,Super Earth
Kepler-1156 b,Kepler-1156,1,1,Transit,2016,11.89520511,,,1.32,,,,,5778.0,1.0,1.0,0.02,[Fe/H],4.44,691.331,Super Earth
Kepler-1157 b,Kepler-1157,1,1,Transit,2016,4.45743164,,,1.09,,,,,4679.0,0.71,0.76,0.05,[Fe/H],4.62,342.144,Super Earth
Kepler-1158 b,Kepler-1158,1,1,Transit,2016,13.5396293,,,2.34,,,,,6203.0,1.95,1.41,0.18,[Fe/H],4.01,1484.25,Neptune-like
Kepler-1159 b,Kepler-1159,1,1,Transit,2016,22.70816791,,,2.37,,,,,6217.0,1.28,1.19,0.04,[Fe/H],4.3,1213.71,Neptune-like
Kepler-116 b,Kepler-116,1,2,Transit,2014,5.968734,,0.069,3.42,,,,,6142.0,1.45,,,,4.2,955.168,Neptune-like
Kepler-116 c,Kepler-116,1,2,Transit,2014,13.07163,,0.116,2.3,,,,,6142.0,1.45,,,,4.2,955.168,Neptune-like
Kepler-1160 b,Kepler-1160,1,1,Transit,2016,7.97034958,,,2.14,,,,,5519.0,0.89,0.92,0.01,[Fe/H],4.51,1077.63,Neptune-like
Kepler-1161 b,Kepler-1161,1,1,Transit,2016,10.71252541,,,2.13,,,,,4253.0,0.57,0.59,-0.35,[Fe/H],4.7,547.726,Neptune-like
Kepler-1162 b,Kepler-1162,1,1,Transit,2016,32.5637069,,,2.21,,,,,5390.0,0.84,0.89,-0.03,[Fe/H],4.54,940.211,Neptune-like
Kepler-1163 b,Kepler-1163,1,1,Transit,2016,6.11786898,,,1.03,,,,,6302.0,1.35,1.22,0.02,[Fe/H],4.26,478.647,Super Earth
Kepler-1164 b,Kepler-1164,1,1,Transit,2016,3.97599768,,,1.12,,,,,5183.0,0.79,0.85,-0.03,[Fe/H],4.57,431.622,Super Earth
Kepler-1165 b,Kepler-1165,1,2,Transit,2016,9.478522,,,1.55,,,,,6080.0,1.18,1.13,0.05,[Fe/H],4.34,1575.2,Super Earth
Kepler-1165 c,Kepler-1165,1,2,Transit,2021,29.96870041,,,3.361,,,,,6249.0,1.08,1.13,-0.04,[Fe/H],4.43,1575.2,Neptune-like
Kepler-1166 b,Kepler-1166,1,1,Transit,2016,33.2406882,,,1.69,,,,,5446.0,0.86,0.9,-0.02,[Fe/H],4.53,634.906,Super Earth
Kepler-1167 b,Kepler-1167,1,1,Transit,2016,1.00393374,,,1.71,,,,,4971.0,0.75,0.79,-0.05,[Fe/H],4.6,820.905,Super Earth
Kepler-1168 b,Kepler-1168,1,1,Transit,2016,55.8226539,,,2.5,,,,,5157.0,0.82,0.87,0.13,[Fe/H],4.56,752.666,Neptune-like
Kepler-1169 b,Kepler-1169,1,1,Transit,2016,6.11009134,,,0.94,,,,,6191.0,1.23,1.24,0.26,[Fe/H],4.35,522.823,Terrestrial
Kepler-117 b,Kepler-117,1,2,Transit,2014,18.7959228,0.0493,0.1445,8.059,29.875,,984.0,F8 V,6150.0,1.61,1.13,-0.04,[Fe/H],4.1,1455.57,Neptune-like
Kepler-117 c,Kepler-117,1,2,Transit,2014,50.790391,0.0323,0.2804,12.341,584.78,,704.0,F8 V,6150.0,1.61,1.13,-0.04,[Fe/H],4.1,1455.57,Gas Giant
Kepler-1170 b,Kepler-1170,1,1,Transit,2016,9.98969327,,,2.41,,,,,5069.0,0.76,0.8,-0.09,[Fe/H],4.58,1050.45,Neptune-like
Kepler-1171 b,Kepler-1171,1,1,Transit,2016,1.44259224,,,2.56,,,,,7044.0,1.95,1.58,-0.01,[Fe/H],4.05,573.0,Neptune-like
Kepler-1172 b,Kepler-1172,1,1,Transit,2016,26.0204423,,,3.2,,,,,5558.0,0.89,0.92,-0.04,[Fe/H],4.51,1306.53,Neptune-like
Kepler-1173 b,Kepler-1173,1,1,Transit,2016,0.7698536,,,0.89,,,,,5252.0,0.82,0.86,0.0,[Fe/H],4.55,377.06,Terrestrial
Kepler-1174 b,Kepler-1174,1,1,Transit,2016,6.89225223,,,1.59,,,,,5936.0,1.04,1.04,-0.04,[Fe/H],4.42,1408.75,Super Earth
Kepler-1175 b,Kepler-1175,1,1,Transit,2016,37.94563,,,2.99,,,,,5453.0,0.86,0.9,-0.04,[Fe/H],4.53,1121.89,Neptune-like
Kepler-1176 b,Kepler-1176,1,1,Transit,2016,24.1738579,,,2.45,,,,,5844.0,1.02,1.01,-0.01,[Fe/H],4.42,864.699,Neptune-like
Kepler-1177 b,Kepler-1177,1,1,Transit,2016,106.247547,,,1.9,,,,,5712.0,0.97,0.98,0.02,[Fe/H],4.46,1299.97,Super Earth
Kepler-1178 b,Kepler-1178,1,1,Transit,2016,31.80634,,,1.07,,,,,4990.0,0.75,0.8,-0.05,[Fe/H],4.59,482.287,Super Earth
Kepler-1179 b,Kepler-1179,1,1,Transit,2016,2.68505749,,,1.32,,,,,5212.0,0.81,0.84,-0.03,[Fe/H],4.56,415.205,Super Earth
Kepler-118 b,Kepler-118,1,2,Transit,2014,7.518496,,0.073,1.96,,,,,5274.0,1.09,,,,4.32,574.228,Super Earth
Kepler-118 c,Kepler-118,1,2,Transit,2014,20.17202,,0.141,7.68,,,,,5274.0,1.09,,,,4.32,574.228,Gas Giant
Kepler-1180 b,Kepler-1180,1,1,Transit,2016,16.8601286,,,1.99,,,,,6077.0,1.14,1.09,0.0,[Fe/H],4.36,1596.8,Super Earth
Kepler-1181 b,Kepler-1181,1,1,Transit,2016,4.89337519,,,1.57,,,,,6176.0,1.3,1.17,0.03,[Fe/H],4.27,938.417,Super Earth
Kepler-1182 b,Kepler-1182,1,1,Transit,2016,11.17394617,,,2.41,,,,,5924.0,1.05,1.04,0.01,[Fe/H],4.41,1545.39,Neptune-like
Kepler-1183 b,Kepler-1183,1,1,Transit,2016,28.5057189,,,2.82,,,,,5765.0,0.99,1.0,0.04,[Fe/H],4.45,1919.19,Neptune-like
Kepler-1184 b,Kepler-1184,1,1,Transit,2016,53.5991044,,,2.68,,,,,5983.0,1.07,1.05,-0.04,[Fe/H],4.41,1157.84,Neptune-like
Kepler-1185 b,Kepler-1185,1,1,Transit,2016,104.3518976,,,1.33,,,,,5622.0,0.87,0.96,-0.04,[Fe/H],4.54,459.273,Super Earth
Kepler-1186 b,Kepler-1186,1,1,Transit,2016,16.07677615,,,2.23,,,,,5635.0,0.93,0.95,0.0,[Fe/H],4.49,1337.25,Neptune-like
Kepler-1187 b,Kepler-1187,1,1,Transit,2016,18.87064068,,,2.61,,,,,5975.0,1.09,1.06,-0.01,[Fe/H],4.39,1020.53,Neptune-like
Kepler-1188 b,Kepler-1188,1,1,Transit,2016,17.1369543,,,2.08,,,,,5913.0,1.06,1.04,0.0,[Fe/H],4.4,1717.48,Super Earth
Kepler-1189 b,Kepler-1189,1,1,Transit,2016,3.78858982,,,1.77,,,,,6012.0,1.16,1.11,0.08,[Fe/H],4.36,782.852,Super Earth
Kepler-119 b,Kepler-119,1,2,Transit,2014,2.422082,,0.035,3.6,,,,,5595.0,0.84,,,,4.57,701.996,Neptune-like
Kepler-119 c,Kepler-119,1,2,Transit,2014,4.125103,,0.049,0.92,,,,,5595.0,0.84,,,,4.57,701.996,Terrestrial
Kepler-1190 b,Kepler-1190,1,1,Transit,2016,10.45843441,,,1.33,,,,,4730.0,0.72,0.76,-0.02,[Fe/H],4.62,342.509,Super Earth
Kepler-1191 b,Kepler-1191,1,1,Transit,2016,5.60014851,,,1.51,,,,,5308.0,0.81,0.85,-0.08,[Fe/H],4.56,955.536,Super Earth
Kepler-1192 b,Kepler-1192,1,1,Transit,2016,25.2034787,,,2.36,,,,,5438.0,0.83,0.86,-0.16,[Fe/H],4.55,1304.19,Neptune-like
Kepler-1193 b,Kepler-1193,1,1,Transit,2016,2.83265213,,,1.32,,,,,5908.0,1.21,1.08,0.12,[Fe/H],4.31,802.116,Super Earth
Kepler-1194 b,Kepler-1194,1,1,Transit,2016,16.22371307,,,1.51,,,,,5590.0,0.92,0.94,0.0,[Fe/H],4.49,757.382,Super Earth
Kepler-1195 b,Kepler-1195,1,1,Transit,2016,8.49642241,,,2.08,,,,,4965.0,0.71,0.74,-0.25,[Fe/H],4.61,918.566,Super Earth
Kepler-1196 b,Kepler-1196,1,1,Transit,2016,66.1849031,,,2.23,,,,,5756.0,0.97,0.98,0.0,[Fe/H],4.46,922.333,Neptune-like
Kepler-1197 b,Kepler-1197,1,1,Transit,2016,2.03231845,,,1.25,,,,,4708.0,0.72,0.78,0.06,[Fe/H],4.62,486.94,Super Earth
Kepler-1198 b,Kepler-1198,1,1,Transit,2016,7.6847716,,,1.47,,,,,5517.0,0.9,0.93,0.03,[Fe/H],4.5,743.03,Super Earth
Kepler-1199 b,Kepler-1199,1,1,Transit,2016,15.0447198,,,1.15,,,,,5889.0,1.17,0.94,-0.27,[Fe/H],4.27,563.493,Super Earth
Kepler-12 b,Kepler-12,1,1,Transit,2011,4.4379629,,0.0553,19.661,137.30256,,1480.0,,5947.0,1.48,1.17,0.07,[Fe/H],4.17,881.386,Gas Giant
Kepler-120 b,Kepler-120,1,2,Transit,2014,6.312501,,0.055,2.15,,,,,4096.0,0.53,,,,4.73,388.63,Super Earth
Kepler-120 c,Kepler-120,1,2,Transit,2014,12.794585,,0.088,1.53,,,,,4096.0,0.53,,,,4.73,388.63,Super Earth
Kepler-1200 b,Kepler-1200,1,1,Transit,2016,1.11854972,,,1.06,,,,,4612.0,0.7,0.74,0.04,[Fe/H],4.63,588.715,Super Earth
Kepler-1201 b,Kepler-1201,1,1,Transit,2016,15.18725932,,,2.29,,,,,6177.0,1.24,1.15,0.03,[Fe/H],4.32,944.241,Neptune-like
Kepler-1202 b,Kepler-1202,1,1,Transit,2016,28.6851324,,,2.94,,,,,5834.0,1.04,1.03,0.06,[Fe/H],4.42,1175.38,Neptune-like
Kepler-1203 b,Kepler-1203,1,1,Transit,2016,0.58800076,,,1.06,,,,,4105.0,0.61,0.64,0.01,[Fe/H],4.67,317.022,Super Earth
Kepler-1204 b,Kepler-1204,1,1,Transit,2016,85.7350285,,,3.05,,,,,5825.0,1.03,1.03,0.06,[Fe/H],4.42,1175.22,Neptune-like
Kepler-1205 b,Kepler-1205,1,1,Transit,2016,1.07839035,,,1.41,,,,,5226.0,0.81,0.84,-0.04,[Fe/H],4.56,698.485,Super Earth
Kepler-1206 b,Kepler-1206,1,1,Transit,2016,1.21699766,,,1.64,,,,,4877.0,0.75,0.8,0.07,[Fe/H],4.6,762.019,Super Earth
Kepler-1207 b,Kepler-1207,1,1,Transit,2016,13.68237119,,,1.62,,,,,5909.0,1.06,1.06,0.05,[Fe/H],4.41,1754.19,Super Earth
Kepler-1208 b,Kepler-1208,1,1,Transit,2016,11.08507637,,,2.32,,,,,5001.0,0.76,0.8,-0.03,[Fe/H],4.59,825.176,Neptune-like
Kepler-1209 b,Kepler-1209,1,1,Transit,2016,25.369116,,,1.51,,,,,6210.0,1.38,1.23,0.12,[Fe/H],4.24,505.531,Super Earth
Kepler-121 b,Kepler-121,1,2,Transit,2014,3.177422,,0.039,2.34,,,,,5311.0,0.7,,,,4.65,510.523,Neptune-like
Kepler-121 c,Kepler-121,1,2,Transit,2014,41.008011,,0.216,2.27,,,,,5311.0,0.7,,,,4.65,510.523,Neptune-like
Kepler-1210 b,Kepler-1210,1,1,Transit,2016,8.07124073,,,1.7,,,,,5568.0,0.92,0.94,0.04,[Fe/H],4.49,1176.53,Super Earth
Kepler-1211 b,Kepler-1211,1,1,Transit,2016,11.01816836,,,2.55,,,,,5705.0,0.94,0.96,-0.08,[Fe/H],4.48,1826.53,Neptune-like
Kepler-1212 b,Kepler-1212,1,1,Transit,2016,12.94130146,,,2.14,,,,,6051.0,1.15,1.1,0.03,[Fe/H],4.36,1316.57,Neptune-like
Kepler-1213 b,Kepler-1213,1,1,Transit,2016,5.34982412,,,1.19,,,,,6050.0,1.21,1.14,0.13,[Fe/H],4.33,807.812,Super Earth
Kepler-1214 b,Kepler-1214,1,1,Transit,2016,18.82634264,,,2.36,,,,,5130.0,0.8,0.85,0.05,[Fe/H],4.57,729.227,Neptune-like
Kepler-1215 b,Kepler-1215,1,1,Transit,2016,4.76703963,,,1.22,,,,,5616.0,0.93,0.95,0.01,[Fe/H],4.48,661.022,Super Earth
Kepler-1216 b,Kepler-1216,1,1,Transit,2016,4.37034536,,,1.39,,,,,5743.0,0.98,0.99,0.03,[Fe/H],4.46,1258.36,Super Earth
Kepler-1217 b,Kepler-1217,1,1,Transit,2016,2.03232507,,,1.99,,,,,5905.0,1.08,1.06,0.07,[Fe/H],4.4,1347.71,Super Earth
Kepler-1218 b,Kepler-1218,1,1,Transit,2016,22.9221266,,,1.44,,,,,5986.0,1.1,1.06,-0.02,[Fe/H],4.38,840.503,Super Earth
Kepler-1219 b,Kepler-1219,1,1,Transit,2016,16.10467749,,,2.12,,,,,5944.0,1.94,1.25,0.05,[Fe/H],3.97,880.895,Neptune-like
Kepler-122 b,Kepler-122,1,5,Transit,2014,5.766193,,0.064,2.34,,,,,6050.0,1.22,,,,4.3,1027.45,Neptune-like
Kepler-122 c,Kepler-122,1,5,Transit,2014,12.465988,,0.108,5.87,,,,,6050.0,1.22,,,,4.3,1027.45,Neptune-like
Kepler-122 d,Kepler-122,1,5,Transit,2014,21.587475,,0.155,2.2,,,,,6050.0,1.22,,,,4.3,1027.45,Neptune-like
Kepler-122 e,Kepler-122,1,5,Transit,2014,37.993273,,0.227,2.6,,,,,6050.0,1.22,,,,4.3,1027.45,Neptune-like
Kepler-122 f,Kepler-122,1,5,Transit Timing Variations,2014,56.268,,,1.75,36.0,,,,,0.95,1.03,,,,1027.45,Super Earth
Kepler-1220 b,Kepler-1220,1,1,Transit,2016,7.42693741,,,1.52,,,,,5842.0,0.99,1.0,-0.04,[Fe/H],4.45,961.907,Super Earth
Kepler-1221 b,Kepler-1221,1,1,Transit,2016,12.00096042,,,1.88,,,,,5194.0,0.82,0.87,0.09,[Fe/H],4.55,913.65,Super Earth
Kepler-1222 b,Kepler-1222,1,1,Transit,2016,1.91694425,,,0.79,,,,,5239.0,0.8,0.84,-0.04,[Fe/H],4.56,415.218,Terrestrial
Kepler-1223 b,Kepler-1223,1,1,Transit,2016,16.301259,,,1.22,,,,,4870.0,0.75,0.8,0.04,[Fe/H],4.6,459.957,Super Earth
Kepler-1224 b,Kepler-1224,1,1,Transit,2016,13.32351601,,,1.33,,,,,6155.0,1.22,1.18,0.14,[Fe/H],4.34,559.598,Super Earth
Kepler-1225 b,Kepler-1225,1,1,Transit,2016,7.01075434,,,1.82,,,,,6140.0,1.19,1.13,0.01,[Fe/H],4.34,1347.52,Super Earth
Kepler-1226 b,Kepler-1226,1,1,Transit,2016,17.2923453,,,1.45,,,,,5923.0,1.02,1.02,-0.08,[Fe/H],4.43,1125.72,Super Earth
Kepler-1227 b,Kepler-1227,1,1,Transit,2016,94.2887577,,,2.29,,,,,5747.0,0.95,0.97,-0.04,[Fe/H],4.47,623.706,Neptune-like
Kepler-1228 b,Kepler-1228,1,1,Transit,2016,0.57736958,,,1.54,,,,,5063.0,0.74,0.78,-0.18,[Fe/H],4.59,515.453,Super Earth
Kepler-1229 b,Kepler-1229,1,1,Transit,2016,86.828989,,,1.4,,,,,3784.0,0.51,0.54,-0.06,[Fe/H],4.75,265.482,Super Earth
Kepler-123 b,Kepler-123,1,2,Transit,2014,17.232366,,0.135,2.94,,,,,6089.0,1.26,,,,4.28,1021.66,Gas Giant
Kepler-123 c,Kepler-123,1,2,Transit,2014,26.695074,,0.181,1.48,,,,,6089.0,1.26,,,,4.28,1021.66,Super Earth
Kepler-1230 b,Kepler-1230,1,1,Transit,2016,9.95661537,,,2.71,,,,,5961.0,1.08,1.06,0.01,[Fe/H],4.4,1364.22,Neptune-like
Kepler-1231 b,Kepler-1231,1,1,Transit,2016,10.41725184,,,1.42,,,,,5778.0,1.0,1.01,0.06,[Fe/H],4.44,987.237,Super Earth
Kepler-1232 b,Kepler-1232,1,1,Transit,2016,26.7839183,,,1.93,,,,,5471.0,0.89,0.92,0.06,[Fe/H],4.51,632.865,Super Earth
Kepler-1233 b,Kepler-1233,1,1,Transit,2016,45.1263042,,,2.6,,,,,6198.0,1.25,1.16,0.02,[Fe/H],4.3,1178.7,Neptune-like
Kepler-1234 b,Kepler-1234,1,1,Transit,2016,11.94014029,,,2.81,,,,,4967.0,0.76,0.8,0.01,[Fe/H],4.59,916.749,Neptune-like
Kepler-1235 b,Kepler-1235,1,1,Transit,2016,4.16055856,,,0.79,,,,,5541.0,0.9,0.93,0.01,[Fe/H],4.5,540.604,Terrestrial
Kepler-1236 b,Kepler-1236,1,1,Transit,2016,31.0571618,,,2.14,,,,,5337.0,0.82,0.86,-0.09,[Fe/H],4.55,999.64,Neptune-like
Kepler-1237 b,Kepler-1237,1,1,Transit,2016,84.5733226,,,2.86,,,,,5472.0,0.9,0.94,0.12,[Fe/H],4.5,1064.31,Neptune-like
Kepler-1238 b,Kepler-1238,1,1,Transit,2016,4.14787559,,,1.93,,,,,6386.0,1.48,1.3,0.05,[Fe/H],4.21,1632.13,Super Earth
Kepler-1239 b,Kepler-1239,1,1,Transit,2016,5.19104016,,,2.9,,,,,6564.0,1.57,1.4,0.22,[Fe/H],4.2,2140.6,Neptune-like
Kepler-124 b,Kepler-124,1,3,Transit,2014,3.410493,,0.039,0.73,,,,,4984.0,0.64,,,,4.67,420.046,Terrestrial
Kepler-124 c,Kepler-124,1,3,Transit,2014,13.821375,,0.1,1.75,,,,,4984.0,0.64,,,,4.67,420.046,Super Earth
Kepler-124 d,Kepler-124,1,3,Transit,2014,30.950851,,0.17,1.11,,,,,4984.0,0.64,,,,4.67,420.046,Super Earth
Kepler-1240 b,Kepler-1240,1,1,Transit,2016,4.8663815,,,1.15,,,,,5682.0,0.96,0.98,0.04,[Fe/H],4.47,862.186,Super Earth
Kepler-1241 b,Kepler-1241,1,1,Transit,2016,18.5525701,,,2.63,,,,,5261.0,0.8,0.84,-0.09,[Fe/H],4.56,968.722,Neptune-like
Kepler-1242 b,Kepler-1242,1,1,Transit,2016,13.62798432,,,2.26,,,,,4895.0,0.74,0.77,-0.05,[Fe/H],4.6,687.615,Neptune-like
Kepler-1243 b,Kepler-1243,1,1,Transit,2016,16.8320729,,,1.75,,,,,5667.0,0.94,0.96,0.01,[Fe/H],4.48,758.17,Super Earth
Kepler-1244 b,Kepler-1244,1,1,Transit,2016,3.70428172,,,1.35,,,,,6680.0,1.77,1.46,0.05,[Fe/H],4.1,1075.81,Super Earth
Kepler-1245 b,Kepler-1245,1,2,Transit,2016,4.35409304,,,1.44,,,,,5306.0,0.83,0.86,-0.01,[Fe/H],4.55,805.936,Super Earth
Kepler-1245 c,Kepler-1245,1,2,Transit,2016,2.93658468,,,1.44,,,,,5306.0,0.83,0.86,-0.01,[Fe/H],4.55,805.936,Super Earth
Kepler-1246 b,Kepler-1246,1,1,Transit,2016,11.32271513,,,1.36,,,,,4611.0,0.69,0.73,-0.03,[Fe/H],4.63,436.505,Super Earth
Kepler-1247 b,Kepler-1247,1,1,Transit,2016,13.71220213,,,2.33,,,,,5303.0,0.82,0.86,-0.05,[Fe/H],4.55,1045.92,Neptune-like
Kepler-1248 b,Kepler-1248,1,1,Transit,2016,7.46725407,,,1.18,,,,,6149.0,1.21,1.21,0.24,[Fe/H],4.36,593.026,Super Earth
Kepler-1249 b,Kepler-1249,1,1,Transit,2016,24.3347127,,,2.38,,,,,6202.0,1.28,1.19,0.06,[Fe/H],4.29,1904.54,Neptune-like
